Unnamed: 0,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys,radioButton-good-practices,organization_name,project_name,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean,sum,haku_id,osa_alue_id,osa_alue_nimi,poikkeavuus
4Kemi- Tornionlaakson koulutuskuntayhtymä LappiaVIME,31883.0,185.0,0.0,0.0,1782.0,279.0,0.0,0.0,0.0,0.0,0.0,34129.0,0.0,9129.0,0.0,25000.0,0.0,34129.0,0.0,46.987846908390466,0,Kemi- Tornionlaakson koulutuskuntayhtymä Lappia,VIME,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.1,2.0,4,4,04 Ammatillinen koulutus,331.4696351178285
4Optima samkommunOpti Xport,34992.0,0.0,0.0,0.0,2172.0,260.0,0.0,0.0,0.0,0.0,0.0,37424.0,0.0,9356.0,0.0,0.0,0.0,9356.0,-28068.0,47.17494015764492,0,Optima samkommun,Opti Xport,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,-0.05,2.0,4,4,04 Ammatillinen koulutus,330.60914159615305
4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,43878.0,1951.0,0.0,0.0,6171.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,13000.0,0.0,0.0,0.0,13000.0,-39000.0,47.33231381338821,0,Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopisto,KUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.8,0.0,0.16,5.0,4,4,04 Ammatillinen koulutus,331.48559008921876
4Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin Energiakademin PRO,48220.0,877.0,0.0,0.0,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,50673.0,0.0,12667.0,0.0,0.0,0.0,12667.0,-38006.0,47.20016185204448,0,Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin ,Energiakademin PRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,0.8,0.2408318915758459,0.42,2.0,4,4,04 Ammatillinen koulutus,328.7609962448792
4Lounais-Suomen ammattiopisto NovidaProVakka,32741.0,3033.0,0.0,0.0,1983.0,1105.0,0.0,0.0,0.0,0.0,0.0,38862.0,0.0,11862.0,0.0,0.0,0.0,11862.0,-27000.0,47.23542563381928,1,Lounais-Suomen ammattiopisto Novida,ProVakka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-0.4,0.2,0.3055050463303894,-0.03333333333333334,2.0,4,4,04 Ammatillinen koulutus,342.62927595786124
4Koulutuskuntayhtymä TavastiaSatelliittikoulut,43944.0,0.0,0.0,0.0,447.0,2297.0,0.0,0.0,0.0,0.0,0.0,46688.0,0.0,11668.0,0.0,35000.0,0.0,46668.0,-20.0,46.851607897687614,1,Koulutuskuntayhtymä Tavastia,Satelliittikoulut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4,4,04 Ammatillinen koulutus,342.6723558151058
4Sastamalan Koulutuskuntayhtymä VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,32578.0,14308.0,0.0,3948.0,1060.0,774.0,0.0,0.0,0.0,0.0,0.0,52668.0,0.0,13167.0,0.0,0.0,0.0,13167.0,-39501.0,45.284987931283254,0,Sastamalan Koulutuskuntayhtymä ,VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.1,0.0,0.05,2.0,4,4,04 Ammatillinen koulutus,331.41785600311874
4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,67585.0,521.0,0.0,800.0,1936.0,2777.0,0.0,0.0,0.0,0.0,0.0,73619.0,0.0,0.0,0.0,0.0,0.0,0.0,-73619.0,80.78148247296014,0,Vaasan kaupunki/Vaasan ammattiopisto,Erityisosaaja vientiteollisuudessa,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.1,0.6,0.13153225936768412,0.17166666666666666,6.0,4,4,04 Ammatillinen koulutus,331.1521001828355
4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,69235.0,1223.0,0.0,14945.0,2054.0,4492.0,0.0,0.0,0.0,0.0,0.0,91949.0,0.0,23949.0,0.0,0.0,0.0,23949.0,-68000.0,46.80301342792509,0,Länsirannikon Koulutus Oy WinNova,Vientiä ammattiin III ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.2,0.8,0.3327920466884239,0.19000000000000009,3.0,4,4,04 Ammatillinen koulutus,331.4711744271165
4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,31072.0,0.0,0.0,0.0,1719.0,836.0,0.0,0.0,0.0,0.0,0.0,33627.0,0.0,8333.0,0.0,0.0,0.0,8333.0,-25294.0,47.15905901092972,0,Ylä-Savon koulutuskuntayhtymä ,Sujuva polku töihin – Yrityslähtöistä metallioppia ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,-0.2,0.0,0.044721359549995794,-0.01,4.0,4,4,04 Ammatillinen koulutus,330.9640827708279
