,unique,haku_id,osa_alue_id,osa_alue_nimi
0,4Kemi- Tornionlaakson koulutuskuntayhtymä LappiaVIME,4,4,04 Ammatillinen koulutus
1,4Optima samkommunOpti Xport,4,4,04 Ammatillinen koulutus
2,4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,4,4,04 Ammatillinen koulutus
3,4Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin Energiakademin PRO,4,4,04 Ammatillinen koulutus
4,4Lounais-Suomen ammattiopisto NovidaProVakka,4,4,04 Ammatillinen koulutus
5,4Koulutuskuntayhtymä TavastiaSatelliittikoulut,4,4,04 Ammatillinen koulutus
6,4Sastamalan Koulutuskuntayhtymä VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,4,4,04 Ammatillinen koulutus
7,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,4,4,04 Ammatillinen koulutus
8,4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,4,4,04 Ammatillinen koulutus
9,4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,4,4,04 Ammatillinen koulutus
10,"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",4,4,04 Ammatillinen koulutus
11,11Lapin yliopisto / Koulutus- ja kehittämispalvelutTehemä pois II - ilmiöistä yrittäjyyttä,11,1,01 Varhaiskasvatus
12,11Mediakasvatusseura ryMEMO2 - Mediapolulta monilukutaitoa ,11,1,01 Varhaiskasvatus
13,11Tampereen yliopistoMonilukutaito laaja-alaisena osaamisena uusissa oppimisympäristöissä,11,1,01 Varhaiskasvatus
14,11Lapin yliopisto / Koulutus- ja kehittämispalvelutTieto-ja viestintätekniikka vapaan sivistystyön opetuksen ja työn välineenä 12 op ,11,1,01 Varhaiskasvatus
15,11Kansanvalistusseura / Etäkoulu KulkuriCase Forest: metsä monialaisena oppimiskokonaisuutena,11,1,01 Varhaiskasvatus
16,"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Osaamista kulttuurisesti moninaiseen kouluun ja päiväkotiin",11,1,01 Varhaiskasvatus
17,11Finnoschool oyME - monilukutaidosta elämys,11,1,01 Varhaiskasvatus
18,11Teatteriyhdistys Pensas ryNYT! – Draama oppimisen avuksi kouluihin 2016–2017,11,1,01 Varhaiskasvatus
19,11Jyväskylän yliopiston kielikampusMonessa kielessä monella tavalla - näkökulmia kielitietoiseen kielikoulutukseen,11,1,01 Varhaiskasvatus
20,11Sydkustens landskapsförbund r.f. ”En bättre miljö – ett bättre dagis”. Piloten för processinriktad fortbildning av daghemspersonal,11,1,01 Varhaiskasvatus
21,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaMultimodalt arbete i en ämnesövergripande verksamhetskultur,11,1,01 Varhaiskasvatus
22,11Ilona IT OyStrateginen loikka - ST,11,1,01 Varhaiskasvatus
23,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaInterkulturell kompetens och språkutvecklande arbetssätt,11,1,01 Varhaiskasvatus
24,11HY+ AbSpecialpedagogik för yrkeslärare,11,1,01 Varhaiskasvatus
25,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaFörmåga att tänka och lära sig - kompetenser för elever och lärare,11,1,01 Varhaiskasvatus
26,11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLeadership matters-rektorer,11,1,01 Varhaiskasvatus
27,"11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLedarskap inom småbarnspedagogik och förskoleundervisning, 25 sp",11,1,01 Varhaiskasvatus
28,11Suomen Rehtorit ryRehtorin ammattivalmennus,11,1,01 Varhaiskasvatus
29,11Turun yliopiston koulutussosiologian tutkimuskeskusDigiKick,11,1,01 Varhaiskasvatus
30,11Suomen Kansanopistoyhdistys-Finlands Folkhögskolförening ry”Kansanopiston johtaminen on erilaista” - Kansanopistojohtamisen koulutusohjelma,11,1,01 Varhaiskasvatus
31,11Finnoschool oyProPedagogy2025 - käänteisellä pedagogiikalla kohti yksilöllistä oppimista ,11,1,01 Varhaiskasvatus
32,"11Jyväskylän ammattikorkeakoulu, Ammatillinen opettajakorkeakouluTunne-, turva- ja sosiaaliset taidot oppimisen, pitkäjänteisen yhteistyön ja kotoutumisen tukena",11,1,01 Varhaiskasvatus
