,unique,outcome_type,description_fi,description_en
0,4Lounais-Suomen ammattiopisto NovidaProVakka,toimintamalli,"Vetovoimatilaisuuksien järjestäminen. Tilaisuuksien suunnittelukokoukset, markkinonti, tuotettu markkinointimateriaali ja ohjelma on arkistoitu Novidassa. Jälkimmäinen tilaisuus videoitiin osittain. ","Organization of attraction events. Event planning meetings, marketing, produced marketing material and the program are archived in Novida. The latter event was partially videotaped."
1,4Lounais-Suomen ammattiopisto NovidaProVakka,toimintamalli,Yrityksen kanssa toteutettava 5s-järjestelmän koulutus ja auditointi,Carry out training and auditing of the 5s system with the company
2,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,toimintamalli,Energiaglusterin tarpeisiin rytmitetty työssäoppiminen ja siihen liittyvät työelämälähtöiset tutkinnon osat. ,Rhythmic on-the-job learning and related work-based parts of the degree.
3,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,raportti,Aktiivipedagogiikkaohjelman perusteet työpaperi,Basics of the active pedagogy program working paper
4,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,muu-tuotos,Yrittäjyyden ja työelätietouden opetuspaketit,Entrepreneurship and work life awareness training packages
5,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,muu-tuotos,"Oppilaitosverkoston kehittämispäivä Vao, osallistujia 11 muista oppilaitoksista, joilla rahoitusta samaan  hankeryhmään.","Educational Network Development Day Vao, participants from 11 other educational institutions with funding for the same project group."
6,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,muu-tuotos,"Teknologiatiistai 29.11.2016 Vao. Tapahtumapäivänä järjestettiin yhdeksäsluokkalaisille tilaisuus tutustua teknologian opiskeluun koululla. Samaan yhteyteen järjestettiin peruskoululaisille yritysvierailut siten, että heidät kuljetettiin bussilla koululta tutustumaan Uwira Oy:n ja Abb:n Vaasan yksiköihin. Päivään kuului myös avoimet ovet koululla. Tämä oli suunnattu opiskelijoiden vanhemmille sekä aikuisopiskelijoille. ","Technology Tuesday 29.11.2016 Vao. On the day of the event, ninth graders were given the opportunity to learn about technology studies at school. In the same context, company visits were arranged for Elementary School students so that they were transported by bus from the school to get to know the Vaasa units of Uwira Oy and Abb. The day also included open doors at the school. This was aimed at parents of students as well as adult students."
7,4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,muu-tuotos,"Työssäoppimisen jaksottaminen siten, että opiskelija tutustuu vientiyrityksen koko palveluketjuun. Joustava opintopolku työssäoppimiseen kone- ja metallialalle.",Periodization of on-the-job learning so that the student becomes acquainted with the entire service chain of the export company. Flexible study path for on-the-job learning in the machine and metal industry.
8,4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,toimintamalli,"Toimintamalli, jonka olemme saaneet rakennettua ja josta olemme saaneet positiivista palautettaTeknologiapäivän tavoitteena on antaa tietoa opiskelusta kone - ja tuotantotekniikassa sekä opiskelun jälkeisistä työmahdollisuuksista teknologia-alalla Satakunnassa.Päivänaikataulu ja kulku, miten olemme sen hoitaneet:8.30: Lähtö koululta tilausbussilla09.00: Opintokäynti alueen yrityksessä 10.00: Siirtyminen bussilla Länsirannikon Koulutus Oy WinNovaan 10.30: Teknologiapäivän avaus, kone- ja tuotantotekniikan esittely, Teknologia-alan monet mahdollisuudet, asiantuntija Pirkko Pitkäpaasi, Teknologiateollisuus ry, Opiskelukokemuksia kone- ja tuotantotekniikasta11.00: Ruoka11.30- 13.45: Työsalityöskentelyä oppilaat jaetaan kolmeen ryhmään, jotka tutustuvat koneenasennukseen, hitsaus- ja levytöihin sekä koneistukseen.13.45: Palaute päivästä14.00: Paluu koululle","The operating model we have built and received positive feedbackThe aim of the Technology Day is to provide information about studying mechanical and production engineering and post-graduate job opportunities in the field of technology in Satakunta. 10.00: Transfer by bus to Länsirannikon Koulutus Oy WinNova 10.30: Opening of the Technology Day, presentation of machine and production technology, Many opportunities in the field of technology, expert Pirkko Pitkäpaasi, Technology Industry Association, Study experiences in machine and production technology11.00: Food 11.30-13.45 to a group familiar with machine installation, welding and sheet metal work and machining.13.45: Feedback from 14.00: Back to school"
9,4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,toimintamalli,"Uusille opiskelijoille näytetään ja heitä tutustutetaan vientiteollisuuden yrityksiin sekä opiskelijat tulevat tietoisiksi, mitä heiltä odotetaan tulevaisuuden työntekijöinä. Käytännössä on tehty opiskelijoiden kanssa säännöllisiä tutustumispäiviä (keskiviikkoisin) alan yrityksiin sekä Peltolan koulutaloon on pyydetty yrityksiä kertomaan heidän toiminnastaan ja työpaikalla tapahtuvan oppimisen mahdollisuuksista.Näitä tilaisuuksia on järjestetty syksyn 2017 aikana yhteensä 11 yrityksen kanssa. Hankkeen aikana on järjestetty 2 seminaaripäivää opiskelijoille teemoilla: ”Kuinka työllistän itseni” sekä ”Teknologiatiistai” (yhteistyössä VetoVoimaa -hankkeen kanssa), näihin päiviin on osallistunut yhteensä 12 yritystä. 11 yritykseen on järjestetty opiskelijoille tutustumispäiviä, jotka ovat toimineet myös oppimistilaisuuksina. Toiminta on juurtunut osaksi oppilaitoksen normaalia toimintaa ja se jatkuu hankkeen päättymisen jälkeen. ","New students are shown and introduced to companies in the export industry, and students become aware of what is expected of them as future employees. In practice, regular study days have been held with students (on Wednesdays) for companies in the field, and companies have been asked to tell about their activities and learning opportunities in the workplace at the Peltola school building. During the project, 2 seminar days have been organized for students with the themes: “How do I employ myself” and “Technology Tuesday” (in cooperation with the VetoVoimaa project), a total of 12 companies have participated in these days. Introductory days have been organized for students in 11 companies, which have also served as learning opportunities. The activity is rooted in the normal operation of the institution and will continue after the end of the project."
