,unique,ei-tuotos-tyyppia,henkiloestoeliikkuvuudet-lkm,julkaisut,kasikirja,koulutus,muu-tuotos,ohjelma,opiskelijaliikkuvuudet-lkm,raportti,selvitys,tapahtuma,toimintamalli,tutkimus,verkkosivut,min,max,std,mean
0,100Etelä-Karjalan KoulutuskuntayhtymäRETEE - Reformia tekniikan aloille,,,,,,4,,,,,,,,1,0.0,0.4,0.03535533905932739,0.15000000000000002
1,100Helsinki Business College OyPopUpCollege - ketterästi kokeillen,,,,,,1,,,,,,1,,1,0.0,0.4,,0.13333333333333333
2,100Hengitysliitto ryOsaamislautaset - osaavaa työvoimaa ravintola- ja catering-alalle,,,,,,6,,,,,,,,,-0.7,0.9,0.6841735581874341,0.12222222222222223
3,100Invalidisäätiö srReformi Telmassa - muutos mahdollisuudeksi,,,,,,1,,,,,,1,,1,-0.1,0.0,,-0.03333333333333333
4,100Invalidisäätiö srUra On- Urasuunnittelulla osaaminen näkyväksi,,,,,,1,,,,,,,,2,0.0,0.7,0.2309401076758503,0.3444444444444444
5,100Koulutuskeskus Salpaus -kuntayhtymäAsiakkuuden hallinta-Asiakaslähtöisyys toiminnan perustana,,,,,,2,,,1,,,2,,,0.0,0.2,0.04714045207910319,0.08
6,"100Luksia, Länsi-Uudenmaan koulutuskuntayhtymäPRIKKA – parastetaan ja rustataan idearikkaita käytäntöjä ja kulttuureja ammatilliseen koulutukseen ",,,,,,,,,,,,,,3,0.0,0.1,,0.03333333333333333
7,100Marttayhdistysten liitto ryYtimet haltuun,,,,,,7,,,,,,5,,3,-0.5,0.7,0.19343240385407193,0.11638888888888889
8,100Oulun seudun koulutuskuntayhtymä (OSEKK)Amis osaa,,,,,,3,,,1,,,5,,,-0.3,0.9,0.2821998288183367,0.2900617283950617
9,100Perho Liiketalousopisto OyKOPPI - Koulutukseen parempia palvelukokemuksia ja innovaatioita,,,,,,,,,,,,,,1,0.0,0.3,0.15275252316519464,0.16666666666666666
10,100Svenska Österbottens förbund för utbildning och kulturKärnprocesser i yrkesutbildningen - KÄPY,,,,,,,,,,,,,,1,0.0,0.0,,0.0
11,101Ammattiopisto Spesia Oy / Ammattiopisto SpesiaMuutosjohtAMEO ,,,,,,2,,,1,,,2,,1,0.0,0.4,0.20615528128088306,0.029166666666666664
12,101Espoon seudun koulutuskuntayhtymä OmniaYhdessä tulevaan,,,,,,4,,,,,,9,,1,-0.4,0.8,0.22428865563693626,0.15812925170068032
13,101Kotkan-Haminan seudun koulutuskuntayhtymäJohtajat Yhdessä Muutoksen Ytimessä - JYMY,,,,,,,,,,,,1,,1,-0.2,0.1,0.08363976920999791,0.006666666666666666
14,101Salon seudun koulutuskuntayhtymäPOMO - Pomokillasta osaamista muutosjohtamiseen,,,,,,4,,,,,,2,,3,-0.1,0.4,0.1041770791800178,0.06555555555555555
15,103Axxell Utbildning AbMå bra tillsammans,,,,,,,,,,,,5,,2,-0.5,0.2,,0.01428571428571429
16,"106Etelä-Savon Koulutus Oy, Etelä-Savon ammattiopistoVETO-LAKU",,,,,,2,,,,,,,,,0.0,0.2,,0.1
17,106Hengitysliitto ryLaatu vieköön! - Laadulla ja tiedolla tulevaisuuteen,,,,,,3,,,1,,,,,,0.0,0.6,0.21213203435596426,0.2125
18,106Jyväskylän koulutuskuntayhtymäSamassa veneessä 5 - Puhuria purjeisiin,,,,,,5,,,,,,1,,,0.0,0.8,0.21173787899515614,0.25277777777777777
19,106Keski-Uudenmaan koulutuskuntayhtymäLARK 7 - Kohti itsearviointia,,,,,,1,,,,,,,,,-0.1,-0.1,,-0.1
20,106Marttayhdistysten liitto ry / Oulun Palvelualan OpistoLaadulla reformiin 2,,,,,,3,,,,,,,,,0.0,0.0,,0.0
21,106Oulun seudun koulutuskuntayhtymäLaatusampo 5,,,,,,,,,,,,,,1,0.0,0.0,0.0,0.0
22,106Pohjois-Karjalan koulutuskuntayhtymäLOISTE V,,,,,,1,,,,,,1,,,0.1,0.5,,0.3
23,106Salon seudun koulutuskuntayhtymäHyvin tekemistä länteen 2018,,,,,,4,,,,,,3,,3,-0.1,0.8,0.33733382659365857,0.15166666666666667
24,106Suomen DiakoniaopistoYhdessä eteenpäin 6,,,,,,1,,,,,,1,,2,-0.7,0.4,0.2284658428302685,0.06875
25,106Svenska Österbottens förbund för utbildning o kultur/Yrkesakademin i ÖsterbottenWorking Quality - Quality in Work (senare WQ),,,,,,,,,1,,,,,,0.1,0.1,,0.1
26,106Tampereen Aikuiskoulutussäätiö sr/Tampereen AikuiskoulutuskeskusPikku hukka kakkonen,,,,,,,,,,,,,,1,0.0,0.1,0.05773502691896259,0.03333333333333333
27,106Turun konservatorion kannatusyhdistys ry. Konservatorioiden kehittyvä ohjausosaaminen: opettaja personal traineriksi,,,,,,,,,1,,,,,1,0.0,0.1,,0.05
28,106Valkeakosken seudun koulutuskuntayhtymäVertaisarvioinnilla tulosta,,,,,,,,,,,,2,,,0.0,0.0,,0.0
