unique,personnel-costs-row.amount,material-costs-row.amount,rent-costs-row.amount,service-purchase-costs-row.amount,steamship-costs-row.amount,other-costs-row.amount,equipment-costs-row.amount,coordination-costs-row.amount,other-costs-row-2.amount,personnel-costs-row.amount-18,material-costs-row.amount-18,menotamount,project-incomes-row.amount,own-income-row.amount,eu-programs-income-row.amount,other-public-financing-income-row.amount,private-financing-income-row.amount,tulotamount,summaamount,SummienTodennakoisyys
4Kemi- Tornionlaakson koulutuskuntayhtymä LappiaVIME,31883.0,185.0,0.0,0.0,1782.0,279.0,0.0,0.0,0.0,0.0,0.0,34129.0,0.0,9129.0,0.0,25000.0,0.0,34129.0,0.0,46.98784690839046
4Optima samkommunOpti Xport,34992.0,0.0,0.0,0.0,2172.0,260.0,0.0,0.0,0.0,0.0,0.0,37424.0,0.0,9356.0,0.0,0.0,0.0,9356.0,-28068.0,47.17494015764492
4Oulun seudun koulutuskuntayhtymä / Oulun seudun ammattiopistoKUMPPANUUS YTIMENÄ 3. - Ammatillista osaamista vientiteollisuuden tarpeisiin,43878.0,1951.0,0.0,0.0,6171.0,0.0,0.0,0.0,0.0,0.0,0.0,52000.0,0.0,13000.0,0.0,0.0,0.0,13000.0,-39000.0,47.332313813388204
4Svenska Österbottens förbund för utbildning och kultur / Yrkesakademin Energiakademin PRO,48220.0,877.0,0.0,0.0,1576.0,0.0,0.0,0.0,0.0,0.0,0.0,50673.0,0.0,12667.0,0.0,0.0,0.0,12667.0,-38006.0,47.20016185204448
4Lounais-Suomen ammattiopisto NovidaProVakka,32741.0,3033.0,0.0,0.0,1983.0,1105.0,0.0,0.0,0.0,0.0,0.0,38862.0,0.0,11862.0,0.0,0.0,0.0,11862.0,-27000.0,47.23542563381927
4Koulutuskuntayhtymä TavastiaSatelliittikoulut,43944.0,0.0,0.0,0.0,447.0,2297.0,0.0,0.0,0.0,0.0,0.0,46688.0,0.0,11668.0,0.0,35000.0,0.0,46668.0,-20.0,46.851607897687614
4Sastamalan Koulutuskuntayhtymä VIKE3 - Vientiteollisuusalojen koulutuksen kehittäminen,32578.0,14308.0,0.0,3948.0,1060.0,774.0,0.0,0.0,0.0,0.0,0.0,52668.0,0.0,13167.0,0.0,0.0,0.0,13167.0,-39501.0,45.28498793128326
4Vaasan kaupunki/Vaasan ammattiopistoErityisosaaja vientiteollisuudessa,67585.0,521.0,0.0,800.0,1936.0,2777.0,0.0,0.0,0.0,0.0,0.0,73619.0,0.0,0.0,0.0,0.0,0.0,0.0,-73619.0,80.78148247296014
4Länsirannikon Koulutus Oy WinNovaVientiä ammattiin III ,69235.0,1223.0,0.0,14945.0,2054.0,4492.0,0.0,0.0,0.0,0.0,0.0,91949.0,0.0,23949.0,0.0,0.0,0.0,23949.0,-68000.0,46.80301342792509
4Ylä-Savon koulutuskuntayhtymä Sujuva polku töihin – Yrityslähtöistä metallioppia ,31072.0,0.0,0.0,0.0,1719.0,836.0,0.0,0.0,0.0,0.0,0.0,33627.0,0.0,8333.0,0.0,0.0,0.0,8333.0,-25294.0,47.15905901092972
"4Tampereen kaupunki/ Tampereen seudun ammattiopisto, TreduViete III",71229.0,697.0,0.0,569.0,253.0,1988.0,0.0,0.0,0.0,0.0,0.0,74736.0,0.0,19736.0,0.0,0.0,0.0,19736.0,-55000.0,47.02162063005898
11Lapin yliopisto / Koulutus- ja kehittämispalvelutTehemä pois II - ilmiöistä yrittäjyyttä,11106.0,0.0,248.0,2000.0,1646.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,-15000.0,94.43910703625303
11Mediakasvatusseura ryMEMO2 - Mediapolulta monilukutaitoa ,8073.0,0.0,0.0,22123.0,3349.0,1055.0,0.0,0.0,0.0,0.0,0.0,34600.0,0.0,0.0,0.0,0.0,0.0,0.0,-34600.0,78.79272675500235
11Tampereen yliopistoMonilukutaito laaja-alaisena osaamisena uusissa oppimisympäristöissä,19766.0,43.0,781.0,5755.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,27134.0,0.0,0.0,0.0,0.0,0.0,0.0,-27134.0,79.42118410557806
11Lapin yliopisto / Koulutus- ja kehittämispalvelutTieto-ja viestintätekniikka vapaan sivistystyön opetuksen ja työn välineenä 12 op ,11065.0,67.0,185.0,14880.0,3663.0,0.0,0.0,0.0,0.0,0.0,0.0,29860.0,0.0,0.0,0.0,0.0,0.0,0.0,-29860.0,80.15040300014476
11Kansanvalistusseura / Etäkoulu KulkuriCase Forest: metsä monialaisena oppimiskokonaisuutena,19120.0,0.0,3696.0,8220.0,570.0,123.0,0.0,0.0,0.0,0.0,0.0,31729.0,0.0,0.0,0.0,0.0,0.0,0.0,-31729.0,78.58263759226232
"11Turun yliopisto (Opettajankoulutuslaitos, Rauman yksikkö)Osaamista kulttuurisesti moninaiseen kouluun ja päiväkotiin",34208.0,1319.0,1883.0,6028.0,5945.0,0.0,0.0,0.0,0.0,0.0,0.0,49383.0,0.0,0.0,0.0,0.0,0.0,0.0,-49383.0,79.25855429547694
11Finnoschool oyME - monilukutaidosta elämys,43100.0,0.0,1400.0,4957.0,218.0,325.0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,-50000.0,79.36450633246423
11Teatteriyhdistys Pensas ryNYT! – Draama oppimisen avuksi kouluihin 2016–2017,73342.0,121.0,2729.0,1504.0,3486.0,599.0,0.0,0.0,0.0,0.0,0.0,81781.0,0.0,0.0,0.0,0.0,0.0,0.0,-81781.0,79.09966620773817
11Jyväskylän yliopiston kielikampusMonessa kielessä monella tavalla - näkökulmia kielitietoiseen kielikoulutukseen,4073.0,36.0,0.0,271.0,0.0,3790.0,0.0,0.0,0.0,0.0,0.0,8170.0,0.0,0.0,0.0,0.0,0.0,0.0,-8170.0,86.54963673524327
11Sydkustens landskapsförbund r.f. ”En bättre miljö – ett bättre dagis”. Piloten för processinriktad fortbildning av daghemspersonal,10137.0,324.0,900.0,3218.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,0.0,0.0,0.0,0.0,0.0,0.0,-14700.0,79.2309716374795
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaMultimodalt arbete i en ämnesövergripande verksamhetskultur,40046.0,633.0,1987.0,1470.0,5004.0,0.0,0.0,0.0,0.0,0.0,0.0,49140.0,0.0,0.0,0.0,0.0,0.0,0.0,-49140.0,79.27776589167897
11Ilona IT OyStrateginen loikka - ST,34719.0,0.0,165.0,629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35513.0,0.0,0.0,0.0,0.0,0.0,0.0,-35513.0,96.70118601358149
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaInterkulturell kompetens och språkutvecklande arbetssätt,25132.0,190.0,2036.0,6089.0,3816.0,0.0,0.0,0.0,0.0,0.0,0.0,37263.0,0.0,0.0,0.0,0.0,0.0,0.0,-37263.0,79.46783652284303
11HY+ AbSpecialpedagogik för yrkeslärare,42519.0,311.0,2387.0,949.0,1172.0,3390.0,0.0,0.0,0.0,0.0,0.0,50728.0,45000.0,0.0,0.0,0.0,0.0,45000.0,-5728.0,66.74188516286203
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaFörmåga att tänka och lära sig - kompetenser för elever och lärare,39773.0,213.0,2528.0,8710.0,3840.0,0.0,0.0,0.0,0.0,0.0,0.0,55064.0,0.0,0.0,0.0,0.0,0.0,0.0,-55064.0,79.47796653409837
11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLeadership matters-rektorer,30932.0,351.0,8627.0,33857.0,8976.0,0.0,0.0,0.0,0.0,0.0,0.0,82743.0,0.0,0.0,0.0,0.0,0.0,0.0,-82743.0,72.83733275516474
"11Centret för livslångt lärande vid Åbo Akademi och Yrkeshögskolan NoviaLedarskap inom småbarnspedagogik och förskoleundervisning, 25 sp",29184.0,155.0,7874.0,11802.0,6005.0,0.0,0.0,0.0,0.0,0.0,0.0,55020.0,0.0,0.0,0.0,0.0,0.0,0.0,-55020.0,74.8329434560679
11Suomen Rehtorit ryRehtorin ammattivalmennus,3871.0,0.0,150.0,57251.0,11477.0,164.0,0.0,0.0,0.0,0.0,0.0,72913.0,0.0,0.0,0.0,0.0,0.0,0.0,-72913.0,71.02592796704464
11Turun yliopiston koulutussosiologian tutkimuskeskusDigiKick,32166.0,0.0,0.0,26500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58666.0,0.0,0.0,0.0,0.0,0.0,0.0,-58666.0,78.58211533166183
11Suomen Kansanopistoyhdistys-Finlands Folkhögskolförening ry”Kansanopiston johtaminen on erilaista” - Kansanopistojohtamisen koulutusohjelma,25013.0,318.0,1969.0,9242.0,1117.0,0.0,0.0,0.0,0.0,0.0,0.0,37659.0,0.0,0.0,0.0,0.0,0.0,0.0,-37659.0,79.46716447283274
11Finnoschool oyProPedagogy2025 - käänteisellä pedagogiikalla kohti yksilöllistä oppimista ,35127.0,860.0,4473.0,16664.0,2018.0,858.0,0.0,0.0,0.0,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,-60000.0,78.46466787332166
"11Jyväskylän ammattikorkeakoulu, Ammatillinen opettajakorkeakouluTunne-, turva- ja sosiaaliset taidot oppimisen, pitkäjänteisen yhteistyön ja kotoutumisen tukena",36212.0,1731.0,406.0,14400.0,1283.0,0.0,0.0,0.0,0.0,0.0,0.0,54032.0,0.0,0.0,0.0,0.0,0.0,0.0,-54032.0,79.48864220179246
11Metropolia Ammattikorkeakoulu Rakentamisen tietomallien (BIM) -perusteet ammattioppilaitosten opettajille,65508.0,0.0,0.0,2105.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,67999.0,9600.0,0.0,0.0,0.0,0.0,9600.0,-58399.0,78.94415120313735
11Oulun ammattikorkeakoulu Oy/Ammatillinen opettajakorkeakouluTUTKESTA toimintaan ll,63836.0,1215.0,6116.0,0.0,4189.0,1644.0,0.0,0.0,0.0,0.0,0.0,77000.0,0.0,0.0,0.0,0.0,0.0,0.0,-77000.0,76.77910875045498
11Tampereen ammattikorkeakoulu OyMoninaisuusosaaja,63088.0,3825.0,4320.0,4770.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,76282.0,0.0,0.0,0.0,0.0,0.0,0.0,-76282.0,77.99740254888866
11Tampereen ammattikorkeakoulu OyNäyttötutkintomestarin koulutusohjelma 25 op,71449.0,244.0,60.0,4030.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,76216.0,0.0,0.0,0.0,0.0,0.0,0.0,-76216.0,93.702224313302
11Tampereen ammattikorkeakoulu OyPettu - oppilaitosten välijohtajat puun ja kuoren välissä,28008.0,68.0,2364.0,4450.0,2532.0,0.0,0.0,0.0,0.0,0.0,0.0,37422.0,0.0,0.0,0.0,0.0,0.0,0.0,-37422.0,79.40605078324023
11Tampereen ammattikorkeakoulu OyTUTKESTA toimintaan II,74490.0,524.0,0.0,2200.0,6703.0,0.0,0.0,0.0,0.0,0.0,0.0,83917.0,0.0,0.0,0.0,0.0,0.0,0.0,-83917.0,78.35647380840433
11Tampereen kaupunki - Tampereen seudun ammattiopisto Muuttuva pedagogiikka - työkaluja muuttuvaan ja monimuotoiseen opettajuuteen,25451.0,14.0,0.0,4463.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,30513.0,0.0,0.0,0.0,29915.0,0.0,29915.0,-598.0,46.66205031306073
"11Turun kaupunki, sivistystoimiala, Turun ammatti-instituutti aikuiskoulutusDigiroihu",62719.0,158.0,3875.0,32134.0,2184.0,0.0,0.0,0.0,0.0,0.0,0.0,101070.0,0.0,0.0,0.0,0.0,0.0,0.0,-101070.0,78.00341040891284
"11Jyväskylän yliopisto, Koulutusjohtamisen instituuttiMinustako päiväkodin johtaja? -Päiväkodin johtajan työhön valmentava koulutus",39366.0,0.0,4330.0,2283.0,6584.0,0.0,0.0,0.0,0.0,0.0,0.0,52563.0,0.0,0.0,0.0,0.0,0.0,0.0,-52563.0,78.11671574341644
11Kokkolan kaupunkiPedagoginen osaaminen uudistuvassa varhaiskasvatuksessa,1168.0,0.0,3025.0,36991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41184.0,0.0,0.0,0.0,0.0,0.0,0.0,-41184.0,77.26206672214367
